time centers	number conc BBHG	mass conc BBHG	"this is for 20130601 using calib ID 2, AD corr added, file x001-x010"
6-1-2013 01:43:45	5.98999		
6-1-2013 01:43:55	9.03244		
6-1-2013 01:44:05	4.48568		
6-1-2013 01:44:15	6.50126		
6-1-2013 01:44:25	6.00075		
6-1-2013 01:44:35	5.99468		
6-1-2013 01:44:45	7.00887		
6-1-2013 01:44:55	6.49811		
6-1-2013 01:45:05	4.49421		
6-1-2013 01:45:15	4.00181		
6-1-2013 01:45:25	6.00021		
6-1-2013 01:45:35	8.51276		
6-1-2013 01:45:45	10.4897		
6-1-2013 01:45:55	8.50147		
6-1-2013 01:46:05	5.50706		
6-1-2013 01:46:15	4.49708		
6-1-2013 01:46:25	6.50037		
6-1-2013 01:46:35	7.00197		
6-1-2013 01:46:45	6.49644		
6-1-2013 01:46:55	8.516		
6-1-2013 01:47:05	6.96846		
6-1-2013 01:47:15	9.02827		
6-1-2013 01:47:25	5.49237		
6-1-2013 01:47:35	9.00455		
6-1-2013 01:47:45	8.00559		
6-1-2013 01:47:55	10.5181		
6-1-2013 01:48:05	9.98886		
6-1-2013 01:48:15	6.47012		
6-1-2013 01:48:25	10.0393		
6-1-2013 01:48:35	11.5028		
6-1-2013 01:48:45	6.49093		
6-1-2013 01:48:55	10.0151		
6-1-2013 01:49:05	9.48258		
6-1-2013 01:49:15	13.0175		
6-1-2013 01:49:25	6.48455		
6-1-2013 01:49:35	14.5296		
6-1-2013 01:49:45	16.5167		
