time centers	number conc BBHG	mass conc BBHG	"this is for 20110801 sp217 using calib ID 1 (linear fit) with AD corr added, file x001-x007"	
8-1-2011 12:29:02				
8-1-2011 12:30:02				
8-1-2011 12:31:02				
8-1-2011 12:32:02				
8-1-2011 12:33:02				
8-1-2011 12:34:02				
8-1-2011 12:35:02				
8-1-2011 12:36:02				
8-1-2011 12:37:02				
8-1-2011 12:38:02	0.0595361	8.85E-05		
8-1-2011 12:39:02				
8-1-2011 12:40:02				
8-1-2011 12:41:02				
8-1-2011 12:42:02				
8-1-2011 12:43:02				
8-1-2011 12:44:02				
8-1-2011 12:45:02				
8-1-2011 12:46:02				
8-1-2011 12:47:02				
8-1-2011 12:48:02	0.0658258	0.000126361		
8-1-2011 12:49:02				
8-1-2011 12:50:02				
8-1-2011 12:51:02				
8-1-2011 12:52:02				
8-1-2011 12:53:02				
8-1-2011 12:54:02				
8-1-2011 12:55:02				
8-1-2011 12:56:02				
8-1-2011 12:57:02				
8-1-2011 12:58:02	0.0760114	0.000154441		
8-1-2011 12:59:02				
8-1-2011 13:00:02				
8-1-2011 13:01:02				
8-1-2011 13:02:02				
8-1-2011 13:03:02				
8-1-2011 13:04:02				
8-1-2011 13:05:02				
8-1-2011 13:06:02				
8-1-2011 13:07:02				
8-1-2011 13:08:02	0.0624545	9.72E-05		
8-1-2011 13:09:02				
8-1-2011 13:10:02				
8-1-2011 13:11:02				
8-1-2011 13:12:02				
8-1-2011 13:13:02				
8-1-2011 13:14:02				
8-1-2011 13:15:02				
8-1-2011 13:16:02				
8-1-2011 13:17:02				
8-1-2011 13:18:02	0.067573	0.000140086		
8-1-2011 13:19:02				
8-1-2011 13:20:02				
8-1-2011 13:21:02				
8-1-2011 13:22:02				
8-1-2011 13:23:02				
8-1-2011 13:24:02				
8-1-2011 13:25:02				
8-1-2011 13:26:02				
8-1-2011 13:27:02				
8-1-2011 13:28:02	0.664109	0.00121099		
8-1-2011 13:29:02	0.00092199	1.81E-06		
8-1-2011 13:30:02				
8-1-2011 13:31:02				
8-1-2011 13:32:02				
8-1-2011 13:33:02				
8-1-2011 13:34:02				
8-1-2011 13:35:02				
8-1-2011 13:36:02				
8-1-2011 13:37:02				
8-1-2011 13:38:02	0.0719472	0.000123447		
8-1-2011 13:39:02				
8-1-2011 13:40:02				
8-1-2011 13:41:02				
8-1-2011 13:42:02				
8-1-2011 13:43:02				
8-1-2011 13:44:02				
8-1-2011 13:45:02				
8-1-2011 13:46:02				
8-1-2011 13:47:02				
8-1-2011 13:48:02	0.0515583	7.98E-05		
8-1-2011 13:49:02				
8-1-2011 13:50:02				
8-1-2011 13:51:02				
8-1-2011 13:52:02				
8-1-2011 13:53:02				
8-1-2011 13:54:02				
8-1-2011 13:55:02				
8-1-2011 13:56:02				
8-1-2011 13:57:02				
8-1-2011 13:58:02	0.0693391	0.000153456		
8-1-2011 13:59:02				
8-1-2011 14:00:02				
8-1-2011 14:01:02				
8-1-2011 14:02:02				
8-1-2011 14:03:02				
8-1-2011 14:04:02				
8-1-2011 14:05:02				
8-1-2011 14:06:02				
8-1-2011 14:07:02				
8-1-2011 14:08:02	0.778544	0.00142883		
8-1-2011 14:09:02	0	0		
8-1-2011 14:10:02				
8-1-2011 14:11:02				
8-1-2011 14:12:02				
8-1-2011 14:13:02				
8-1-2011 14:14:02				
8-1-2011 14:15:02				
8-1-2011 14:16:02				
8-1-2011 14:17:02				
8-1-2011 14:18:02	0.0720146	0.000162455		
8-1-2011 14:19:02				
8-1-2011 14:20:02				
8-1-2011 14:21:02				
8-1-2011 14:22:02				
8-1-2011 14:23:02				
8-1-2011 14:24:02				
8-1-2011 14:25:02				
8-1-2011 14:26:02				
8-1-2011 14:27:02				
8-1-2011 14:28:02	0.0659717	0.000147161		
8-1-2011 14:29:02				
8-1-2011 14:30:02				
8-1-2011 14:31:02				
8-1-2011 14:32:02				
8-1-2011 14:33:02				
8-1-2011 14:34:02				
8-1-2011 14:35:02				
8-1-2011 14:36:02				
8-1-2011 14:37:02				
8-1-2011 14:38:02	0.0738654	0.000151795		
8-1-2011 14:39:02				
8-1-2011 14:40:02				
8-1-2011 14:41:02				
